City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Egvekinot,RU,2021-01-26 01:37:44,66.3167,-179.1667,-10.82,89,76,7.29
168,Muros,ES,2021-01-26 01:37:16,42.7762,-9.0603,57.99,94,100,9.98
169,Birao,CF,2021-01-26 01:37:44,10.2849,22.7882,70.36,22,100,7.47
170,Mahebourg,MU,2021-01-26 01:37:45,-20.4081,57.7,71.6,88,20,5.75
171,Weatherford,US,2021-01-26 01:37:45,32.7593,-97.7972,57.0,54,0,13.89
172,Aykhal,RU,2021-01-26 01:35:28,66.0,111.5,-38.78,78,33,1.32
173,Longyearbyen,SJ,2021-01-26 01:37:45,78.2186,15.6401,2.12,88,64,8.55
174,Nikolskoye,RU,2021-01-26 01:35:24,59.7035,30.7861,37.0,93,90,8.95
175,Sesheke,ZM,2021-01-26 01:37:45,-17.4759,24.2968,65.62,92,100,7.38
176,Ebensee,AT,2021-01-26 01:37:45,47.8072,13.779,32.0,94,100,7.0
177,Teya,RU,2021-01-26 01:33:01,60.3778,92.6267,-45.09,74,46,0.07
178,San Patricio,US,2021-01-26 01:33:37,28.017,-97.5169,75.2,57,90,6.91
179,Manggar,ID,2021-01-26 01:37:47,-2.8833,108.2667,82.38,73,100,4.88
180,Mount Isa,AU,2021-01-26 01:35:47,-20.7333,139.5,95.0,31,75,6.91
181,Meulaboh,ID,2021-01-26 01:36:14,4.1363,96.1285,80.55,74,40,5.14
182,Vanimo,PG,2021-01-26 01:37:48,-2.6741,141.3028,83.77,76,17,3.31
183,Bethel,US,2021-01-26 01:37:21,41.3712,-73.414,28.4,50,1,3.53
184,Hasaki,JP,2021-01-26 01:35:33,35.7333,140.8333,48.2,76,75,9.22
185,Isangel,VU,2021-01-26 01:37:01,-19.55,169.2667,86.0,74,75,6.91
186,Port Blair,IN,2021-01-26 01:37:49,11.6667,92.75,76.44,74,36,9.13
187,Neiafu,TO,2021-01-26 01:37:28,-18.65,-173.9833,75.2,94,90,8.05
188,Hermanus,ZA,2021-01-26 01:37:11,-34.4187,19.2345,60.01,91,18,6.46
189,Athens,GR,2021-01-26 01:35:27,37.9795,23.7162,57.99,76,20,9.89
190,Mareeba,AU,2021-01-26 01:37:49,-17.0,145.4333,86.0,66,75,8.05
191,Harper,LR,2021-01-26 01:37:49,4.375,-7.7169,77.59,86,0,6.4
192,Cherskiy,RU,2021-01-26 01:37:03,68.75,161.3,-36.54,82,63,2.86
193,Bonavista,CA,2021-01-26 01:37:46,48.6499,-53.1147,30.99,93,100,6.91
194,Rawson,AR,2021-01-26 01:37:50,-43.3002,-65.1023,65.93,51,0,16.49
195,Raudeberg,NO,2021-01-26 01:37:50,61.9875,5.1352,33.01,94,100,6.76
196,Nouadhibou,MR,2021-01-26 01:37:50,20.931,-17.0347,66.2,59,0,17.27
197,Castelo Do Piaui,BR,2021-01-26 01:37:50,-5.3222,-41.5525,74.1,89,100,3.8
198,Formosa Do Rio Preto,BR,2021-01-26 01:37:50,-11.0483,-45.1931,68.79,87,56,2.39
199,Krasnyy Chikoy,RU,2021-01-26 01:37:50,50.3643,108.7512,-4.67,86,98,7.36
200,Sioux Lookout,CA,2021-01-26 01:37:51,50.1001,-91.917,-16.6,76,1,3.44
201,Carnarvon,AU,2021-01-26 01:35:51,-24.8667,113.6333,77.0,57,40,23.02
202,Portimao,PT,2021-01-26 01:37:51,37.1386,-8.5378,59.0,100,75,10.36
203,Avila,ES,2021-01-26 01:37:51,40.5833,-5.0,48.99,93,98,1.01
204,Broome,US,2021-01-26 01:35:54,42.2506,-75.833,25.0,63,1,1.45
205,Caravelas,BR,2021-01-26 01:32:38,-17.7125,-39.2481,75.18,84,100,3.04
206,Florianopolis,BR,2021-01-26 01:37:51,-27.6146,-48.5012,75.99,88,75,11.5
207,Mardin,TR,2021-01-26 01:37:51,37.3131,40.7436,41.0,65,0,9.22
208,Santa Rosa,PH,2021-01-26 01:37:51,14.3122,121.1114,84.99,78,40,1.14
209,Bonfim,BR,2021-01-26 01:37:52,3.0833,-59.95,79.86,61,100,8.12
210,Kutum,SD,2021-01-26 01:37:38,14.2,24.6667,55.15,31,69,6.93
211,General Roca,AR,2021-01-26 01:37:52,-39.0333,-67.5833,80.6,22,0,8.05
212,Novaya Zaimka,RU,2021-01-26 01:37:52,56.4857,66.9241,26.94,98,100,13.31
213,Dingle,PH,2021-01-26 01:37:52,10.9995,122.6711,79.75,76,100,11.77
214,La Libertad,EC,2021-01-26 01:37:52,-2.2333,-80.9,78.1,77,50,8.48
215,Coahuayana,MX,2021-01-26 01:37:38,18.7333,-103.6833,75.2,73,40,1.45
216,Riyadh,SA,2021-01-26 01:37:52,24.6877,46.7219,51.8,22,0,5.75
217,Lundazi,ZM,2021-01-26 01:37:53,-12.2929,33.1782,64.02,90,100,3.6
218,Hofn,IS,2021-01-26 01:37:53,64.2539,-15.2082,24.31,89,97,19.44
219,Verkhoyansk,RU,2021-01-26 01:37:53,67.5447,133.385,-41.73,78,91,2.01
220,Ekhabi,RU,2021-01-26 01:36:27,53.5102,142.9671,-14.01,86,0,8.57
221,Odesskoye,RU,2021-01-26 01:37:53,54.2111,72.9651,-2.96,92,100,6.58
222,Aswan,EG,2021-01-26 01:37:53,24.0934,32.907,52.38,43,0,8.9
223,Gamba,GA,2021-01-26 01:37:53,-2.65,10.0,78.19,87,100,3.89
224,Huicheng,CN,2021-01-26 01:37:54,23.0385,116.2899,62.6,77,0,4.47
225,Tombouctou,ML,2021-01-26 01:37:54,20.0,-3.0,66.42,19,52,10.38
226,Kungurtug,RU,2021-01-26 01:37:54,50.5994,97.5228,-12.5,82,100,1.48
227,Uray,RU,2021-01-26 01:37:54,60.1247,64.7758,10.94,96,100,5.28
228,Saint Anthony,US,2021-01-26 01:37:54,45.0205,-93.218,19.4,49,90,9.22
229,Vangaindrano,MG,2021-01-26 01:37:32,-23.35,47.6,73.6,91,13,6.73
