City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Karakol,KG,42.4907,78.3936,16.97,61,71,3.67,broken clouds
256,Ilulissat,GL,69.2167,-51.1,6.8,61,90,8.05,overcast clouds
257,Andenes,NO,69.3143,16.1194,25.0,74,44,8.05,scattered clouds
258,Vryheid,ZA,-27.7695,30.7917,66.36,89,73,1.92,light rain
259,Touros,BR,-5.1989,-35.4608,78.8,83,20,4.61,few clouds
260,Vavuniya,LK,8.7514,80.4971,71.38,98,20,3.18,few clouds
261,Quimper,FR,48.0,-4.1,51.8,93,90,11.5,overcast clouds
262,The Valley,AI,18.217,-63.0578,78.8,83,40,4.61,scattered clouds
263,Lulea,SE,65.5842,22.1547,14.0,85,90,6.91,light snow
264,Tautira,PF,-17.7333,-149.15,86.0,62,75,11.5,light rain
265,Kysyl-Syr,RU,63.8986,122.7617,-52.94,76,57,2.26,broken clouds
266,Bengkulu,ID,-3.8004,102.2655,75.04,94,98,8.99,overcast clouds
267,Nome,US,64.5011,-165.4064,-7.6,71,1,6.91,clear sky
268,Macultepec,MX,18.1667,-92.8333,77.0,83,40,5.73,scattered clouds
269,Gorontalo,ID,0.5412,123.0595,75.94,83,99,3.11,overcast clouds
270,Guadalajara,MX,20.6667,-103.3333,80.6,12,1,9.22,clear sky
271,Jackson,US,42.4165,-122.8345,55.4,41,90,21.85,overcast clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.04,79,9,21.25,clear sky
273,Mathathane,BW,-22.2687,28.7495,76.93,72,100,12.3,overcast clouds
274,Namatanai,PG,-3.6667,152.4333,83.93,68,100,13.24,overcast clouds
275,Plettenberg Bay,ZA,-34.0527,23.3716,65.16,77,3,4.68,clear sky
276,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,88,75,17.85,broken clouds
277,Yulara,AU,-25.2406,130.9889,87.8,23,49,18.41,scattered clouds
278,Lorengau,PG,-2.0226,147.2712,83.59,78,99,11.32,overcast clouds
279,Trairi,BR,-3.2778,-39.2689,79.41,81,75,9.13,broken clouds
280,Nabire,ID,-3.3667,135.4833,79.84,83,100,1.74,overcast clouds
281,Bogoroditsk,RU,53.7717,38.1241,24.66,98,100,12.19,snow
282,Vila,PT,42.0304,-8.1588,46.99,90,100,11.99,light rain
283,Salou,ES,41.0766,1.1416,55.4,50,0,18.41,clear sky
284,Tessalit,ML,20.1986,1.0114,63.45,22,39,12.26,scattered clouds
285,Richards Bay,ZA,-28.783,32.0377,73.13,93,96,2.84,moderate rain
286,Kokkola,FI,63.8385,23.1307,19.0,86,96,2.3,light snow
287,Les Cayes,HT,18.2,-73.75,74.26,74,87,5.39,overcast clouds
288,Anadyr,RU,64.75,177.4833,-4.0,71,20,26.84,snow
289,Port-Cartier,CA,50.0334,-66.8654,19.4,63,37,6.91,scattered clouds
290,Palm Coast,US,29.585,-81.2078,60.01,88,1,7.07,clear sky
291,Sault Sainte Marie,CA,46.5168,-84.3333,19.4,68,1,4.61,clear sky
292,Kentau,KZ,43.5206,68.5094,44.35,57,100,6.38,overcast clouds
293,Tekeli,KZ,44.83,78.8239,30.33,64,95,10.27,overcast clouds
294,Port Hardy,CA,50.6996,-127.4199,46.4,81,90,23.02,overcast clouds
295,Dom Pedrito,BR,-30.9828,-54.6731,69.01,89,92,18.41,overcast clouds
296,Taoudenni,ML,22.6783,-3.9836,67.46,24,0,9.22,clear sky
297,Sept-Iles,CA,50.2001,-66.3821,19.4,63,22,6.91,few clouds
298,Brazzaville,CG,-4.2658,15.2832,73.4,100,99,3.44,overcast clouds
299,Newcastle,AU,-32.9272,151.7765,80.6,78,75,11.5,broken clouds
300,Sofia,BG,42.6975,23.3242,33.01,100,67,2.3,mist
301,Talcahuano,CL,-36.7167,-73.1167,62.6,82,0,3.44,clear sky
302,Ilebo,CD,-4.3167,20.5833,70.52,96,100,3.4,light rain
303,Chernyshevskiy,RU,63.0128,112.4714,-32.01,85,100,4.5,overcast clouds
304,Aqtobe,KZ,50.2797,57.2072,1.4,78,45,2.24,scattered clouds
305,Coxim,BR,-18.5067,-54.76,78.82,73,99,2.82,overcast clouds
306,Myitkyina,MM,25.3833,97.4,57.15,86,72,4.36,broken clouds
307,Beringovskiy,RU,63.05,179.3167,7.61,95,100,27.81,snow
308,Barcelos,PT,41.5388,-8.6151,55.4,88,75,8.05,light rain
309,Sleaford,GB,52.9983,-0.4094,35.6,86,50,9.22,scattered clouds
310,Jaque,PA,7.5175,-78.1703,81.39,75,77,6.67,broken clouds
311,Chunoyar,RU,57.4467,97.3217,-41.31,77,11,1.72,few clouds
312,Rudnogorsk,RU,57.2639,103.7519,-42.97,81,20,1.88,few clouds
313,Rosetta,EG,31.4044,30.4164,57.2,67,0,9.22,clear sky
314,Tambau,BR,-21.705,-47.2744,78.8,65,0,6.91,clear sky
315,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.0,68,34,1.99,scattered clouds
316,Ponta Do Sol,PT,32.6667,-17.1,59.0,74,70,3.0,broken clouds
317,Castro,BR,-24.7911,-50.0119,65.79,98,100,3.6,overcast clouds
318,Nanchong,CN,30.7951,106.0847,51.39,67,100,4.14,overcast clouds
319,Bubaque,GW,11.2833,-15.8333,79.52,59,21,12.46,few clouds
320,Porto Walter,BR,-8.2686,-72.7439,73.54,95,67,1.03,broken clouds
321,Pochutla,MX,15.7432,-96.4661,82.4,65,20,11.5,few clouds
322,Ancud,CL,-41.8697,-73.8203,60.01,62,0,9.22,clear sky
323,Qianan,CN,44.9932,124.0581,-6.45,88,98,7.29,overcast clouds
324,Kosikha,RU,53.3617,84.5822,-7.6,77,53,11.18,broken clouds
325,Tazovskiy,RU,67.4667,78.7,-25.8,83,100,15.52,overcast clouds
326,Beyneu,KZ,45.3167,55.2,34.56,92,100,12.01,overcast clouds
327,Road Town,VG,18.4167,-64.6167,77.0,83,40,10.36,scattered clouds
328,Sur,OM,22.5667,59.5289,65.5,52,0,4.61,clear sky
329,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.32,78,46,4.36,scattered clouds
330,Sabang,ID,5.8933,95.3214,80.89,77,52,21.25,broken clouds
331,Marsa Matruh,EG,31.3525,27.2453,60.8,59,0,14.97,clear sky
332,Nova Venecia,BR,-18.7106,-40.4006,72.75,85,19,4.23,few clouds
333,Noyabrsk,RU,63.1994,75.4507,-20.02,85,100,20.51,overcast clouds
334,Hobyo,SO,5.3505,48.5268,74.8,79,25,14.7,scattered clouds
335,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,90,12.66,overcast clouds
336,Bondo,CD,3.8146,23.6866,68.13,32,62,1.57,broken clouds
337,Port-Gentil,GA,-0.7193,8.7815,77.0,88,90,13.8,overcast clouds
338,Ajdabiya,LY,30.7554,20.2263,59.07,69,0,4.68,clear sky
339,Ucluelet,CA,48.9329,-125.5528,44.01,93,90,16.11,overcast clouds
340,Talara,PE,-4.5772,-81.2719,78.8,73,75,9.22,broken clouds
341,Kirensk,RU,57.7853,108.1119,-37.26,79,80,1.79,broken clouds
342,Margate,GB,51.3813,1.3862,39.0,77,78,4.0,broken clouds
343,Cockburn Town,TC,21.4612,-71.1419,73.4,60,20,11.5,few clouds
344,Bentiu,SS,9.2333,29.8333,71.89,21,8,6.58,clear sky
345,Vaitape,PF,-16.5167,-151.75,81.21,71,77,7.63,broken clouds
346,Jaguarari,BR,-10.2639,-40.1958,68.49,86,99,4.99,overcast clouds
